[v3] device=mps params=1,928,611 batches/ep tr=1831 va=102 amp=True
[v3] img=256 batch=16 epochs=25 lr=0.0004 warmup=2 ema=0.999
[v3] no resume file at checkpoints/hand_seg_v3.last.pt, starting fresh.
[v3] ep 0 batch  200/1831 | run 1.1391 | lr 6.67e-05 | t 34s
[v3] ep 0 batch  250/1831 | run 1.1053 | lr 6.67e-05 | t 41s
[v3] ep 0 batch  300/1831 | run 1.0779 | lr 6.67e-05 | t 49s
[v3] ep 0 batch  350/1831 | run 1.0542 | lr 6.67e-05 | t 56s
[v3] ep 0 batch  400/1831 | run 1.0337 | lr 6.67e-05 | t 64s
[v3] ep 0 batch  450/1831 | run 1.0161 | lr 6.67e-05 | t 72s
[v3] ep 0 batch  500/1831 | run 1.0005 | lr 6.67e-05 | t 80s
[v3] ep 0 batch  550/1831 | run 0.9860 | lr 6.67e-05 | t 88s
[v3] ep 0 batch  600/1831 | run 0.9732 | lr 6.67e-05 | t 97s
[v3] ep 0 batch  650/1831 | run 0.9607 | lr 6.67e-05 | t 105s
[v3] ep 0 batch  700/1831 | run 0.9490 | lr 6.67e-05 | t 113s
[v3] ep 0 batch  750/1831 | run 0.9381 | lr 6.67e-05 | t 121s
[v3] ep 0 batch  800/1831 | run 0.9282 | lr 6.67e-05 | t 129s
[v3] ep 0 batch  850/1831 | run 0.9184 | lr 6.67e-05 | t 138s
[v3] ep 0 batch  900/1831 | run 0.9092 | lr 6.67e-05 | t 147s
[v3] ep 0 batch  950/1831 | run 0.9009 | lr 6.67e-05 | t 156s
[v3] ep 0 batch 1000/1831 | run 0.8921 | lr 6.67e-05 | t 167s
[v3] ep 0 batch 1050/1831 | run 0.8842 | lr 6.67e-05 | t 178s
[v3] ep 0 batch 1100/1831 | run 0.8768 | lr 6.67e-05 | t 190s
[v3] ep 0 batch 1150/1831 | run 0.8691 | lr 6.67e-05 | t 203s
[v3] ep 0 batch 1200/1831 | run 0.8611 | lr 6.67e-05 | t 217s
[v3] ep 0 batch 1250/1831 | run 0.8543 | lr 6.67e-05 | t 230s
[v3] ep 0 batch 1300/1831 | run 0.8480 | lr 6.67e-05 | t 242s
[v3] ep 0 batch 1350/1831 | run 0.8412 | lr 6.67e-05 | t 254s
[v3] ep 0 batch 1400/1831 | run 0.8349 | lr 6.67e-05 | t 265s
[v3] ep 0 batch 1450/1831 | run 0.8288 | lr 6.67e-05 | t 276s
[v3] ep 0 batch 1500/1831 | run 0.8230 | lr 6.67e-05 | t 287s
[v3] ep 0 batch 1550/1831 | run 0.8170 | lr 6.67e-05 | t 298s
[v3] ep 0 batch 1600/1831 | run 0.8112 | lr 6.67e-05 | t 309s
[v3] ep 0 batch 1650/1831 | run 0.8056 | lr 6.67e-05 | t 319s
[v3] ep 0 batch 1700/1831 | run 0.8000 | lr 6.67e-05 | t 330s
[v3] ep 0 batch 1750/1831 | run 0.7950 | lr 6.67e-05 | t 340s
[v3] ep 0 batch 1800/1831 | run 0.7897 | lr 6.67e-05 | t 351s
